applicant_id,institution_id,cohort_default_rate,race,age,sex,status,income,credit_score,dti,program_level,major,loan_amount,score_base,score_with_cdr,approved,low_risk_terms
0,CommunityCollege,0.12,White,22,M,Non-US,143000,570,0.149,undergrad,Arts,19000.0,-0.36070032307390276,-0.5767003230739027,0,0
1,CommunityCollege,0.12,White,26,M,Non-US,16000,677,0.139,undergrad,STEM,32000.0,0.2477144345424542,0.031714434542454206,1,0
2,StateU,0.065,White,31,M,Non-US,31000,554,0.262,undergrad,Arts,22000.0,-1.4966352948688377,-1.6136352948688377,0,0
3,ForProfit1,0.25,White,33,F,Non-US,71000,614,0.175,graduate,STEM,29000.0,0.2054743961321923,-0.24452560386780772,0,0
4,ForProfit2,0.3,White,25,F,Non-US,46000,727,0.054,undergrad,Business,66000.0,1.6532625745072562,1.1132625745072562,1,1
5,ForProfit2,0.3,White,29,M,US Person,14000,762,0.242,undergrad,Arts,28000.0,0.5930638323436941,0.05306383234369405,1,0
6,CommunityCollege,0.12,White,20,M,Non-US,46000,648,0.104,graduate,Law,38000.0,0.5082844986780342,0.2922844986780342,1,1
7,StateU,0.065,Black,26,F,US Person,43000,640,0.134,graduate,Law,20000.0,-0.0751096048466513,-0.1921096048466513,0,0
8,StateU,0.065,Other,27,F,Non-US,40000,715,0.119,undergrad,Business,35000.0,0.6175112002252584,0.5005112002252584,1,1
9,ForProfit1,0.25,Other,25,M,Non-US,29000,731,0.319,undergrad,Arts,54000.0,0.13182835901634044,-0.3181716409836596,0,0
10,UVA,0.035,White,34,F,Non-US,109000,719,0.168,graduate,STEM,28000.0,1.3623759596891183,1.2993759596891183,1,1
11,UVA,0.035,Other,24,M,Non-US,175000,735,0.489,undergrad,Arts,13000.0,0.4806848907184434,0.4176848907184434,1,1
12,CommunityCollege,0.12,Black,22,F,Non-US,55000,680,0.152,graduate,STEM,41000.0,0.43459613597269375,0.21859613597269376,1,1
13,ForProfit2,0.3,Other,19,M,Non-US,36000,641,0.164,undergrad,Law,15000.0,0.19125930280933107,-0.34874069719066897,0,0
14,StateU,0.065,Black,29,F,Non-US,31000,641,0.256,undergrad,STEM,29000.0,-0.605198710035544,-0.722198710035544,0,0
15,ForProfit2,0.3,White,19,F,Non-US,66000,690,0.212,undergrad,STEM,22000.0,0.5481257323417547,0.008125732341754621,1,0
16,StateU,0.065,White,25,M,Non-US,59000,655,0.353,graduate,Arts,38000.0,-0.38451538467822266,-0.5015153846782227,0,0
17,CommunityCollege,0.12,White,19,F,Non-US,36000,693,0.262,graduate,Arts,37000.0,0.39625917421567874,0.18025917421567875,1,1
18,StateU,0.065,White,22,F,Non-US,68000,790,0.36,graduate,Business,33000.0,1.0991365341233172,0.9821365341233173,1,1
19,ForProfit1,0.25,White,26,M,Non-US,66000,751,0.138,undergrad,STEM,82000.0,1.4274911673343185,0.9774911673343185,1,1
20,ForProfit1,0.25,Asian,19,F,Non-US,49000,593,0.116,undergrad,STEM,24000.0,-0.1871946201332931,-0.6371946201332931,0,0
21,CommunityCollege,0.12,Asian,23,F,Non-US,56000,669,0.132,undergrad,Arts,48000.0,0.5336342019579174,0.3176342019579175,1,1
22,CommunityCollege,0.12,White,19,M,US Person,68000,553,0.178,undergrad,STEM,35000.0,-0.5940574823635081,-0.810057482363508,0,0
23,CommunityCollege,0.12,White,22,M,Non-US,27000,565,0.27,graduate,STEM,24000.0,-0.7337488390302561,-0.9497488390302561,0,0
24,ForProfit1,0.25,White,25,F,Non-US,19000,683,0.386,graduate,STEM,61000.0,0.2156642443555207,-0.2343357556444793,0,0
25,ForProfit1,0.25,Other,30,F,Non-US,28000,633,0.241,undergrad,Arts,54000.0,-0.7727698767936809,-1.222769876793681,0,0
26,StateU,0.065,Other,26,F,Non-US,58000,672,0.289,undergrad,Arts,20000.0,-0.08367050610103234,-0.20067050610103235,0,0
27,ForProfit1,0.25,Black,29,F,US Person,46000,757,0.243,graduate,STEM,22000.0,1.1208863170631467,0.6708863170631467,1,1
28,CommunityCollege,0.12,Black,22,M,US Person,52000,709,0.18,undergrad,Arts,24000.0,0.3681139404642826,0.1521139404642826,1,1
29,ForProfit2,0.3,White,22,F,US Person,38000,699,0.095,undergrad,STEM,71000.0,0.7888287018489548,0.24882870184895478,1,1
30,CommunityCollege,0.12,White,23,F,US Person,37000,606,0.177,graduate,Arts,35000.0,-0.8187363599574744,-1.0347363599574744,0,0
31,CommunityCollege,0.12,White,32,F,Non-US,82000,569,0.159,graduate,Law,66000.0,-0.2922591546116131,-0.5082591546116131,0,0
32,CommunityCollege,0.12,Other,31,M,Non-US,39000,626,0.33,undergrad,STEM,24000.0,-0.1523351982322016,-0.3683351982322016,0,0
33,ForProfit1,0.25,White,23,M,Non-US,42000,695,0.153,undergrad,Arts,80000.0,0.08089969685097467,-0.3691003031490253,0,0
34,CommunityCollege,0.12,White,28,M,Non-US,55000,800,0.133,graduate,Law,23000.0,2.213924412128109,1.997924412128109,1,1
35,StateU,0.065,Other,23,F,Non-US,64000,546,0.126,undergrad,STEM,28000.0,-0.6010612618170379,-0.7180612618170379,0,0
36,CommunityCollege,0.12,White,25,F,Non-US,55000,668,0.158,graduate,Arts,49000.0,0.04970224406820051,-0.1662977559317995,0,0
